,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Family Aboard,Alone
85,1,3,0,33.0,3,0,15.85,S,Mrs,3,0
86,0,3,1,16.0,1,3,34.375,S,Mr,4,0
87,0,3,1,,0,0,8.05,S,Mr,0,1
88,1,1,0,23.0,3,2,263.0,S,Miss,5,0
89,0,3,1,24.0,0,0,8.05,S,Mr,0,1
90,0,3,1,29.0,0,0,8.05,S,Mr,0,1
91,0,3,1,20.0,0,0,7.8542,S,Mr,0,1
92,0,1,1,46.0,1,0,61.175,S,Mr,1,0
93,0,3,1,26.0,1,2,20.575,S,Mr,3,0
94,0,3,1,59.0,0,0,7.25,S,Mr,0,1
95,0,3,1,,0,0,8.05,S,Mr,0,1
96,0,1,1,71.0,0,0,34.6542,C,Mr,0,1
97,1,1,1,23.0,0,1,63.3583,C,Mr,1,0
98,1,2,0,34.0,0,1,23.0,S,Mrs,1,0
99,0,2,1,34.0,1,0,26.0,S,Mr,1,0
100,0,3,0,28.0,0,0,7.8958,S,Miss,0,1
101,0,3,1,,0,0,7.8958,S,Mr,0,1
102,0,1,1,21.0,0,1,77.2875,S,Mr,1,0
103,0,3,1,33.0,0,0,8.6542,S,Mr,0,1
104,0,3,1,37.0,2,0,7.925,S,Mr,2,0
105,0,3,1,28.0,0,0,7.8958,S,Mr,0,1
106,1,3,0,21.0,0,0,7.65,S,Miss,0,1
107,1,3,1,,0,0,7.775,S,Mr,0,1
108,0,3,1,38.0,0,0,7.8958,S,Mr,0,1
109,1,3,0,,1,0,24.15,Q,Miss,1,0
110,0,1,1,47.0,0,0,52.0,S,Mr,0,0
111,0,3,0,14.5,1,0,14.4542,C,Miss,1,0
112,0,3,1,22.0,0,0,8.05,S,Mr,0,1
113,0,3,0,20.0,1,0,9.825,S,Miss,1,0
114,0,3,0,17.0,0,0,14.4583,C,Miss,0,0
115,0,3,1,21.0,0,0,7.925,S,Mr,0,1
116,0,3,1,70.5,0,0,7.75,Q,Mr,0,1
117,0,2,1,29.0,1,0,21.0,S,Mr,1,0
118,0,1,1,24.0,0,1,247.5208,C,Mr,1,0
119,0,3,0,2.0,4,2,31.275,S,Miss,6,0
120,0,2,1,21.0,2,0,73.5,S,Mr,2,0
121,0,3,1,,0,0,8.05,S,Mr,0,1
122,0,2,1,32.5,1,0,30.0708,C,Mr,1,0
123,1,2,0,32.5,0,0,13.0,S,Miss,0,1
124,0,1,1,54.0,0,1,77.2875,S,Mr,1,0
125,1,3,1,12.0,1,0,11.2417,C,Master,1,0
126,0,3,1,,0,0,7.75,Q,Mr,0,1
127,1,3,1,24.0,0,0,7.1417,S,Mr,0,1
128,1,3,0,,1,1,22.3583,C,Miss,2,0
129,0,3,1,45.0,0,0,6.975,S,Mr,0,1
130,0,3,1,33.0,0,0,7.8958,C,Mr,0,1
131,0,3,1,20.0,0,0,7.05,S,Mr,0,1
132,0,3,0,47.0,1,0,14.5,S,Mrs,1,0
133,1,2,0,29.0,1,0,26.0,S,Mrs,1,0
134,0,2,1,25.0,0,0,13.0,S,Mr,0,1
135,0,2,1,23.0,0,0,15.0458,C,Mr,0,1
136,1,1,0,19.0,0,2,26.2833,S,Miss,2,0
137,0,1,1,37.0,1,0,53.1,S,Mr,1,0
138,0,3,1,16.0,0,0,9.2167,S,Mr,0,0
139,0,1,1,24.0,0,0,79.2,C,Mr,0,0
140,0,3,0,,0,2,15.2458,C,Mrs,2,0
141,1,3,0,22.0,0,0,7.75,S,Miss,0,1
142,1,3,0,24.0,1,0,15.85,S,Mrs,1,0
143,0,3,1,19.0,0,0,6.75,Q,Mr,0,1
144,0,2,1,18.0,0,0,11.5,S,Mr,0,1
145,0,2,1,19.0,1,1,36.75,S,Mr,2,0
146,1,3,1,27.0,0,0,7.7958,S,Mr,0,1
147,0,3,0,9.0,2,2,34.375,S,Miss,4,0
148,0,2,1,36.5,0,2,26.0,S,Mr,2,0
149,0,2,1,42.0,0,0,13.0,S,Rev,0,1
150,0,2,1,51.0,0,0,12.525,S,Rev,0,1
151,1,1,0,22.0,1,0,66.6,S,Mrs,1,0
152,0,3,1,55.5,0,0,8.05,S,Mr,0,1
153,0,3,1,40.5,0,2,14.5,S,Mr,2,0
154,0,3,1,,0,0,7.3125,S,Mr,0,1
155,0,1,1,51.0,0,1,61.3792,C,Mr,1,0
156,1,3,0,16.0,0,0,7.7333,Q,Miss,0,1
157,0,3,1,30.0,0,0,8.05,S,Mr,0,1
158,0,3,1,,0,0,8.6625,S,Mr,0,1
159,0,3,1,,8,2,69.55,S,Master,10,0
160,0,3,1,44.0,0,1,16.1,S,Mr,1,0
161,1,2,0,40.0,0,0,15.75,S,Mrs,0,1
162,0,3,1,26.0,0,0,7.775,S,Mr,0,1
163,0,3,1,17.0,0,0,8.6625,S,Mr,0,1
164,0,3,1,1.0,4,1,39.6875,S,Master,5,0
165,1,3,1,9.0,0,2,20.525,S,Master,2,0
166,1,1,0,,0,1,55.0,S,Mrs,1,0
167,0,3,0,45.0,1,4,27.9,S,Mrs,5,0
168,0,1,1,,0,0,25.925,S,Mr,0,1
169,0,3,1,28.0,0,0,56.4958,S,Mr,0,0
170,0,1,1,61.0,0,0,33.5,S,Mr,0,1
171,0,3,1,4.0,4,1,29.125,Q,Master,5,0
172,1,3,0,1.0,1,1,11.1333,S,Miss,2,0
173,0,3,1,21.0,0,0,7.925,S,Mr,0,1
174,0,1,1,56.0,0,0,30.6958,C,Mr,0,1
175,0,3,1,18.0,1,1,7.8542,S,Mr,2,0
176,0,3,1,,3,1,25.4667,S,Master,4,0
177,0,1,0,50.0,0,0,28.7125,C,Miss,0,1
178,0,2,1,30.0,0,0,13.0,S,Mr,0,1
179,0,3,1,36.0,0,0,0.0,S,Mr,0,0
180,0,3,0,,8,2,69.55,S,Miss,10,0
181,0,2,1,,0,0,15.05,C,Mr,0,1
182,0,3,1,9.0,4,2,31.3875,S,Master,6,0
183,1,2,1,1.0,2,1,39.0,S,Master,3,0
184,1,3,0,4.0,0,2,22.025,S,Miss,2,0
185,0,1,1,,0,0,50.0,S,Mr,0,1
186,1,3,0,,1,0,15.5,Q,Mrs,1,0
187,1,1,1,45.0,0,0,26.55,S,Mr,0,1
188,0,3,1,40.0,1,1,15.5,Q,Mr,2,0
189,0,3,1,36.0,0,0,7.8958,S,Mr,0,1
190,1,2,0,32.0,0,0,13.0,S,Mrs,0,1
191,0,2,1,19.0,0,0,13.0,S,Mr,0,1
192,1,3,0,19.0,1,0,7.8542,S,Miss,1,0
193,1,2,1,3.0,1,1,26.0,S,Master,2,0
194,1,1,0,44.0,0,0,27.7208,C,Mrs,0,1
195,1,1,0,58.0,0,0,146.5208,C,Miss,0,0
196,0,3,1,,0,0,7.75,Q,Mr,0,1
197,0,3,1,42.0,0,1,8.4042,S,Mr,1,0
198,1,3,0,,0,0,7.75,Q,Miss,0,1
199,0,2,0,24.0,0,0,13.0,S,Miss,0,1
200,0,3,1,28.0,0,0,9.5,S,Mr,0,1
201,0,3,1,,8,2,69.55,S,Mr,10,0
202,0,3,1,34.0,0,0,6.4958,S,Mr,0,1
203,0,3,1,45.5,0,0,7.225,C,Mr,0,1
204,1,3,1,18.0,0,0,8.05,S,Mr,0,1
205,0,3,0,2.0,0,1,10.4625,S,Miss,1,0
206,0,3,1,32.0,1,0,15.85,S,Mr,1,0
207,1,3,1,26.0,0,0,18.7875,C,Mr,0,0
208,1,3,0,16.0,0,0,7.75,Q,Miss,0,1
209,1,1,1,40.0,0,0,31.0,C,Mr,0,1
210,0,3,1,24.0,0,0,7.05,S,Mr,0,1
211,1,2,0,35.0,0,0,21.0,S,Miss,0,1
212,0,3,1,22.0,0,0,7.25,S,Mr,0,1
213,0,2,1,30.0,0,0,13.0,S,Mr,0,1
214,0,3,1,,1,0,7.75,Q,Mr,1,0
215,1,1,0,31.0,1,0,113.275,C,Miss,1,0
216,1,3,0,27.0,0,0,7.925,S,Miss,0,1
217,0,2,1,42.0,1,0,27.0,S,Mr,1,0
218,1,1,0,32.0,0,0,76.2917,C,Miss,0,1
219,0,2,1,30.0,0,0,10.5,S,Mr,0,1
220,1,3,1,16.0,0,0,8.05,S,Mr,0,1
221,0,2,1,27.0,0,0,13.0,S,Mr,0,1
222,0,3,1,51.0,0,0,8.05,S,Mr,0,1
223,0,3,1,,0,0,7.8958,S,Mr,0,1
224,1,1,1,38.0,1,0,90.0,S,Mr,1,0
225,0,3,1,22.0,0,0,9.35,S,Mr,0,1
226,1,2,1,19.0,0,0,10.5,S,Mr,0,1
227,0,3,1,20.5,0,0,7.25,S,Mr,0,1
228,0,2,1,18.0,0,0,13.0,S,Mr,0,1
229,0,3,0,,3,1,25.4667,S,Miss,4,0
230,1,1,0,35.0,1,0,83.475,S,Mrs,1,0
231,0,3,1,29.0,0,0,7.775,S,Mr,0,1
232,0,2,1,59.0,0,0,13.5,S,Mr,0,1
233,1,3,0,5.0,4,2,31.3875,S,Miss,6,0
234,0,2,1,24.0,0,0,10.5,S,Mr,0,1
235,0,3,0,,0,0,7.55,S,Miss,0,1
236,0,2,1,44.0,1,0,26.0,S,Mr,1,0
237,1,2,0,8.0,0,2,26.25,S,Miss,2,0
238,0,2,1,19.0,0,0,10.5,S,Mr,0,1
239,0,2,1,33.0,0,0,12.275,S,Mr,0,1
240,0,3,0,,1,0,14.4542,C,Miss,1,0
241,1,3,0,,1,0,15.5,Q,Miss,1,0
242,0,2,1,29.0,0,0,10.5,S,Mr,0,1
243,0,3,1,22.0,0,0,7.125,S,Mr,0,1
244,0,3,1,30.0,0,0,7.225,C,Mr,0,1
245,0,1,1,44.0,2,0,90.0,Q,Dr,2,0
246,0,3,0,25.0,0,0,7.775,S,Miss,0,1
247,1,2,0,24.0,0,2,14.5,S,Mrs,2,0
248,1,1,1,37.0,1,1,52.5542,S,Mr,2,0
249,0,2,1,54.0,1,0,26.0,S,Rev,1,0
250,0,3,1,,0,0,7.25,S,Mr,0,1
251,0,3,0,29.0,1,1,10.4625,S,Mrs,2,0
252,0,1,1,62.0,0,0,26.55,S,Mr,0,1
253,0,3,1,30.0,1,0,16.1,S,Mr,1,0
254,0,3,0,41.0,0,2,20.2125,S,Mrs,2,0
255,1,3,0,29.0,0,2,15.2458,C,Mrs,2,0
256,1,1,0,,0,0,79.2,C,Mrs,0,1
257,1,1,0,30.0,0,0,86.5,S,Miss,0,0
258,1,1,0,35.0,0,0,512.3292,C,Miss,0,0
259,1,2,0,50.0,0,1,26.0,S,Mrs,1,0
260,0,3,1,,0,0,7.75,Q,Mr,0,1
261,1,3,1,3.0,4,2,31.3875,S,Master,6,0
262,0,1,1,52.0,1,1,79.65,S,Mr,2,0
263,0,1,1,40.0,0,0,0.0,S,Mr,0,1
264,0,3,0,,0,0,7.75,Q,Miss,0,1
265,0,2,1,36.0,0,0,10.5,S,Mr,0,1
266,0,3,1,16.0,4,1,39.6875,S,Mr,5,0
267,1,3,1,25.0,1,0,7.775,S,Mr,1,0
268,1,1,0,58.0,0,1,153.4625,S,Mrs,1,0
269,1,1,0,35.0,0,0,135.6333,S,Miss,0,0
270,0,1,1,,0,0,31.0,S,Mr,0,0
271,1,3,1,25.0,0,0,0.0,S,Mr,0,0
272,1,2,0,41.0,0,1,19.5,S,Mrs,1,0
273,0,1,1,37.0,0,1,29.7,C,Mr,1,0
274,1,3,0,,0,0,7.75,Q,Miss,0,1
275,1,1,0,63.0,1,0,77.9583,S,Miss,1,0
276,0,3,0,45.0,0,0,7.75,S,Miss,0,1
277,0,2,1,,0,0,0.0,S,Mr,0,0
278,0,3,1,7.0,4,1,29.125,Q,Master,5,0
279,1,3,0,35.0,1,1,20.25,S,Mrs,2,0
280,0,3,1,65.0,0,0,7.75,Q,Mr,0,1
281,0,3,1,28.0,0,0,7.8542,S,Mr,0,1
282,0,3,1,16.0,0,0,9.5,S,Mr,0,1
283,1,3,1,19.0,0,0,8.05,S,Mr,0,1
284,0,1,1,,0,0,26.0,S,Mr,0,1
285,0,3,1,33.0,0,0,8.6625,C,Mr,0,1
286,1,3,1,30.0,0,0,9.5,S,Mr,0,1
287,0,3,1,22.0,0,0,7.8958,S,Mr,0,1
288,1,2,1,42.0,0,0,13.0,S,Mr,0,1
289,1,3,0,22.0,0,0,7.75,Q,Miss,0,1
290,1,1,0,26.0,0,0,78.85,S,Miss,0,0
291,1,1,0,19.0,1,0,91.0792,C,Mrs,1,0
292,0,2,1,36.0,0,0,12.875,C,Mr,0,1
293,0,3,0,24.0,0,0,8.85,S,Miss,0,1
294,0,3,1,24.0,0,0,7.8958,S,Mr,0,1
295,0,1,1,,0,0,27.7208,C,Mr,0,1
296,0,3,1,23.5,0,0,7.2292,C,Mr,0,1
297,0,1,0,2.0,1,2,151.55,S,Miss,3,0
298,1,1,1,,0,0,30.5,S,Mr,0,1
299,1,1,0,50.0,0,1,247.5208,C,Mrs,1,0
300,1,3,0,,0,0,7.75,Q,Miss,0,1
301,1,3,1,,2,0,23.25,Q,Mr,2,0
302,0,3,1,19.0,0,0,0.0,S,Mr,0,0
303,1,2,0,,0,0,12.35,Q,Miss,0,1
304,0,3,1,,0,0,8.05,S,Mr,0,1
305,1,1,1,0.92,1,2,151.55,S,Master,3,0
306,1,1,0,,0,0,110.8833,C,Miss,0,0
307,1,1,0,17.0,1,0,108.9,C,Mrs,1,0
308,0,2,1,30.0,1,0,24.0,C,Mr,1,0
309,1,1,0,30.0,0,0,56.9292,C,Miss,0,0
310,1,1,0,24.0,0,0,83.1583,C,Miss,0,0
311,1,1,0,18.0,2,2,262.375,C,Miss,4,0
312,0,2,0,26.0,1,1,26.0,S,Mrs,2,0
313,0,3,1,28.0,0,0,7.8958,S,Mr,0,1
314,0,2,1,43.0,1,1,26.25,S,Mr,2,0
315,1,3,0,26.0,0,0,7.8542,S,Miss,0,1
316,1,2,0,24.0,1,0,26.0,S,Mrs,1,0
317,0,2,1,54.0,0,0,14.0,S,Dr,0,1
318,1,1,0,31.0,0,2,164.8667,S,Miss,2,0
319,1,1,0,40.0,1,1,134.5,C,Mrs,2,0
320,0,3,1,22.0,0,0,7.25,S,Mr,0,1
321,0,3,1,27.0,0,0,7.8958,S,Mr,0,1
322,1,2,0,30.0,0,0,12.35,Q,Miss,0,1
323,1,2,0,22.0,1,1,29.0,S,Mrs,2,0
324,0,3,1,,8,2,69.55,S,Mr,10,0
325,1,1,0,36.0,0,0,135.6333,C,Miss,0,0
326,0,3,1,61.0,0,0,6.2375,S,Mr,0,1
327,1,2,0,36.0,0,0,13.0,S,Mrs,0,1
328,1,3,0,31.0,1,1,20.525,S,Mrs,2,0
329,1,1,0,16.0,0,1,57.9792,C,Miss,1,0
330,1,3,0,,2,0,23.25,Q,Miss,2,0
331,0,1,1,45.5,0,0,28.5,S,Mr,0,1
332,0,1,1,38.0,0,1,153.4625,S,Mr,1,0
333,0,3,1,16.0,2,0,18.0,S,Mr,2,0
334,1,1,0,,1,0,133.65,S,Mrs,1,0
335,0,3,1,,0,0,7.8958,S,Mr,0,1
336,0,1,1,29.0,1,0,66.6,S,Mr,1,0
337,1,1,0,41.0,0,0,134.5,C,Miss,0,0
338,1,3,1,45.0,0,0,8.05,S,Mr,0,1
339,0,1,1,45.0,0,0,35.5,S,Mr,0,1
340,1,2,1,2.0,1,1,26.0,S,Master,2,0
341,1,1,0,24.0,3,2,263.0,S,Miss,5,0
342,0,2,1,28.0,0,0,13.0,S,Mr,0,1
343,0,2,1,25.0,0,0,13.0,S,Mr,0,1
344,0,2,1,36.0,0,0,13.0,S,Mr,0,1
345,1,2,0,24.0,0,0,13.0,S,Miss,0,1
346,1,2,0,40.0,0,0,13.0,S,Miss,0,1
347,1,3,0,,1,0,16.1,S,Mrs,1,0
348,1,3,1,3.0,1,1,15.9,S,Master,2,0
349,0,3,1,42.0,0,0,8.6625,S,Mr,0,1
350,0,3,1,23.0,0,0,9.225,S,Mr,0,1
351,0,1,1,,0,0,35.0,S,Mr,0,1
352,0,3,1,15.0,1,1,7.2292,C,Mr,2,0
353,0,3,1,25.0,1,0,17.8,S,Mr,1,0
354,0,3,1,,0,0,7.225,C,Mr,0,1
355,0,3,1,28.0,0,0,9.5,S,Mr,0,1
356,1,1,0,22.0,0,1,55.0,S,Miss,1,0
357,0,2,0,38.0,0,0,13.0,S,Miss,0,1
358,1,3,0,,0,0,7.8792,Q,Miss,0,1
359,1,3,0,,0,0,7.8792,Q,Miss,0,1
360,0,3,1,40.0,1,4,27.9,S,Mr,5,0
361,0,2,1,29.0,1,0,27.7208,C,Mr,1,0
362,0,3,0,45.0,0,1,14.4542,C,Mrs,1,0
363,0,3,1,35.0,0,0,7.05,S,Mr,0,1
364,0,3,1,,1,0,15.5,Q,Mr,1,0
365,0,3,1,30.0,0,0,7.25,S,Mr,0,1
366,1,1,0,60.0,1,0,75.25,C,Mrs,1,0
367,1,3,0,,0,0,7.2292,C,Mrs,0,1
368,1,3,0,,0,0,7.75,Q,Miss,0,1
369,1,1,0,24.0,0,0,69.3,C,Mrs,0,0
370,1,1,1,25.0,1,0,55.4417,C,Mr,1,0
371,0,3,1,18.0,1,0,6.4958,S,Mr,1,0
372,0,3,1,19.0,0,0,8.05,S,Mr,0,1
373,0,1,1,22.0,0,0,135.6333,C,Mr,0,0
374,0,3,0,3.0,3,1,21.075,S,Miss,4,0
375,1,1,0,,1,0,82.1708,C,Mrs,1,0
376,1,3,0,22.0,0,0,7.25,S,Miss,0,1
377,0,1,1,27.0,0,2,211.5,C,Mr,2,0
378,0,3,1,20.0,0,0,4.0125,C,Mr,0,1
379,0,3,1,19.0,0,0,7.775,S,Mr,0,1
380,1,1,0,42.0,0,0,227.525,C,Miss,0,0
381,1,3,0,1.0,0,2,15.7417,C,Miss,2,0
382,0,3,1,32.0,0,0,7.925,S,Mr,0,1
383,1,1,0,35.0,1,0,52.0,S,Mrs,1,0
384,0,3,1,,0,0,7.8958,S,Mr,0,1
385,0,2,1,18.0,0,0,73.5,S,Mr,0,0
386,0,3,1,1.0,5,2,46.9,S,Master,7,0
387,1,2,0,36.0,0,0,13.0,S,Miss,0,1
388,0,3,1,,0,0,7.7292,Q,Mr,0,1
389,1,2,0,17.0,0,0,12.0,C,Miss,0,1
390,1,1,1,36.0,1,2,120.0,S,Mr,3,0
391,1,3,1,21.0,0,0,7.7958,S,Mr,0,1
392,0,3,1,28.0,2,0,7.925,S,Mr,2,0
393,1,1,0,23.0,1,0,113.275,C,Miss,1,0
394,1,3,0,24.0,0,2,16.7,S,Mrs,2,0
395,0,3,1,22.0,0,0,7.7958,S,Mr,0,1
396,0,3,0,31.0,0,0,7.8542,S,Miss,0,1
397,0,2,1,46.0,0,0,26.0,S,Mr,0,0
398,0,2,1,23.0,0,0,10.5,S,Dr,0,1
399,1,2,0,28.0,0,0,12.65,S,Mrs,0,1
400,1,3,1,39.0,0,0,7.925,S,Mr,0,1
401,0,3,1,26.0,0,0,8.05,S,Mr,0,1
402,0,3,0,21.0,1,0,9.825,S,Miss,1,0
403,0,3,1,28.0,1,0,15.85,S,Mr,1,0
404,0,3,0,20.0,0,0,8.6625,S,Miss,0,1
405,0,2,1,34.0,1,0,21.0,S,Mr,1,0
406,0,3,1,51.0,0,0,7.75,S,Mr,0,1
407,1,2,1,3.0,1,1,18.75,S,Master,2,0
408,0,3,1,21.0,0,0,7.775,S,Mr,0,1
409,0,3,0,,3,1,25.4667,S,Miss,4,0
410,0,3,1,,0,0,7.8958,S,Mr,0,1
411,0,3,1,,0,0,6.8583,Q,Mr,0,1
412,1,1,0,33.0,1,0,90.0,Q,Miss,1,0
413,0,2,1,,0,0,0.0,S,Mr,0,0
414,1,3,1,44.0,0,0,7.925,S,Mr,0,1
415,0,3,0,,0,0,8.05,S,Mrs,0,1
416,1,2,0,34.0,1,1,32.5,S,Mrs,2,0
417,1,2,0,18.0,0,2,13.0,S,Miss,2,0
418,0,2,1,30.0,0,0,13.0,S,Mr,0,1
419,0,3,0,10.0,0,2,24.15,S,Miss,2,0
420,0,3,1,,0,0,7.8958,C,Mr,0,1
421,0,3,1,21.0,0,0,7.7333,Q,Mr,0,1
422,0,3,1,29.0,0,0,7.875,S,Mr,0,1
423,0,3,0,28.0,1,1,14.4,S,Mrs,2,0
424,0,3,1,18.0,1,1,20.2125,S,Mr,2,0
425,0,3,1,,0,0,7.25,S,Mr,0,1
426,1,2,0,28.0,1,0,26.0,S,Mrs,1,0
427,1,2,0,19.0,0,0,26.0,S,Miss,0,0
428,0,3,1,,0,0,7.75,Q,Mr,0,1
429,1,3,1,32.0,0,0,8.05,S,Mr,0,1
430,1,1,1,28.0,0,0,26.55,S,Mr,0,1
431,1,3,0,,1,0,16.1,S,Mrs,1,0
432,1,2,0,42.0,1,0,26.0,S,Mrs,1,0
433,0,3,1,17.0,0,0,7.125,S,Mr,0,1
434,0,1,1,50.0,1,0,55.9,S,Mr,1,0
435,1,1,0,14.0,1,2,120.0,S,Miss,3,0
436,0,3,0,21.0,2,2,34.375,S,Miss,4,0
437,1,2,0,24.0,2,3,18.75,S,Mrs,5,0
438,0,1,1,64.0,1,4,263.0,S,Mr,5,0
439,0,2,1,31.0,0,0,10.5,S,Mr,0,1
440,1,2,0,45.0,1,1,26.25,S,Mrs,2,0
441,0,3,1,20.0,0,0,9.5,S,Mr,0,1
442,0,3,1,25.0,1,0,7.775,S,Mr,1,0
443,1,2,0,28.0,0,0,13.0,S,Miss,0,1
444,1,3,1,,0,0,8.1125,S,Mr,0,1
445,1,1,1,4.0,0,2,81.8583,S,Master,2,0
446,1,2,0,13.0,0,1,19.5,S,Miss,1,0
447,1,1,1,34.0,0,0,26.55,S,Mr,0,1
448,1,3,0,5.0,2,1,19.2583,C,Miss,3,0
449,1,1,1,52.0,0,0,30.5,S,Special,0,1
450,0,2,1,36.0,1,2,27.75,S,Mr,3,0
451,0,3,1,,1,0,19.9667,S,Mr,1,0
452,0,1,1,30.0,0,0,27.75,C,Mr,0,1
453,1,1,1,49.0,1,0,89.1042,C,Mr,1,0
454,0,3,1,,0,0,8.05,S,Mr,0,1
455,1,3,1,29.0,0,0,7.8958,C,Mr,0,1
456,0,1,1,65.0,0,0,26.55,S,Mr,0,1
457,1,1,0,,1,0,51.8625,S,Mrs,1,0
458,1,2,0,50.0,0,0,10.5,S,Miss,0,1
459,0,3,1,,0,0,7.75,Q,Mr,0,1
460,1,1,1,48.0,0,0,26.55,S,Mr,0,1
461,0,3,1,34.0,0,0,8.05,S,Mr,0,1
462,0,1,1,47.0,0,0,38.5,S,Mr,0,1
463,0,2,1,48.0,0,0,13.0,S,Mr,0,1
464,0,3,1,,0,0,8.05,S,Mr,0,1
